Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Busselton,80,AU,1610148804,32,-33.65,115.3333,84.0,1.01
Bereda,6,ES,1610148971,98,43.2686,-7.5406,33.01,5.01
Saquena,69,PE,1610148972,96,-4.6667,-73.5167,74.8,1.88
Hasaki,20,JP,1610148974,74,35.7333,140.8333,26.6,3.44
Mataura,75,NZ,1610148975,78,-46.1927,168.8643,59.0,15.01
Yellowknife,20,CA,1610148976,84,62.456,-114.3525,1.99,4.61
Fairbanks,40,US,1610148968,78,64.8378,-147.7164,-0.4,0.78
Pochutla,20,MX,1610148978,57,15.7432,-96.4661,82.4,9.22
Thompson,20,CA,1610148690,92,55.7435,-97.8558,15.8,2.3
Lebu,17,CL,1610148981,79,-37.6167,-73.65,55.26,16.55
Saint George,1,US,1610148871,25,37.1041,-113.5841,54.0,1.63
Jamestown,75,US,1610148905,86,42.097,-79.2353,25.0,6.91
Souillac,75,MU,1610148984,83,-20.5167,57.5167,78.8,12.66
Petrovsk-Zabaykal'skiy,83,RU,1610148985,89,51.273,108.843,-2.63,7.11
Bundaberg,90,AU,1610148986,88,-24.85,152.35,71.6,17.27
Cabo San Lucas,1,MX,1610148820,68,22.8909,-109.9124,73.0,3.44
Honningsvåg,70,NO,1610148988,95,70.9821,25.9704,25.41,23.15
Port Blair,8,IN,1610148990,82,11.6667,92.75,80.31,10.25
Sulangan,37,PH,1610148991,80,11.1373,123.7228,80.56,6.31
Avarua,20,CK,1610148992,65,-21.2078,-159.775,84.2,6.91
Rock Springs,1,US,1610148993,59,41.5875,-109.2029,28.4,2.75
Casa Grande,1,US,1610148994,15,32.8795,-111.7573,68.0,2.93
Tasiilaq,0,GL,1610148995,57,65.6145,-37.6368,14.0,12.66
Mehamn,64,NO,1610148996,91,71.0357,27.8492,19.72,7.96
Shache,0,CN,1610148997,93,38.4167,77.2406,11.3,2.68
Saint Paul Harbor,90,US,1610148998,75,57.79,-152.4072,35.6,10.36
Twin Falls,90,US,1610148786,75,42.3505,-114.6445,35.6,12.66
Marsh Harbour,97,BS,1610148921,73,26.5412,-77.0636,71.91,14.41
Vestmannaeyjar,100,IS,1610149002,89,63.4427,-20.2734,30.29,33.13
Marquette,97,US,1610149003,82,46.5333,-87.6335,28.99,5.28
Mahébourg,75,MU,1610149004,83,-20.4081,57.7,78.8,12.66
Pātūr,99,IN,1610149005,47,20.45,76.9333,72.88,2.39
Hilo,1,US,1610148947,57,19.7297,-155.09,82.4,6.91
Quesnel,75,CA,1610149007,60,52.9999,-122.5029,39.2,8.05
Salinópolis,98,BR,1610149008,78,-0.6136,-47.3561,80.82,11.56
Havelock,90,US,1610149010,93,34.8791,-76.9013,44.6,13.8
Hays,31,US,1610149011,72,30.0502,-98.0336,48.99,6.2
Saint Anthony,90,US,1610149012,86,45.0205,-93.218,23.0,3.44
Arlit,0,NE,1610149013,20,18.7369,7.3853,72.81,5.57
Merauke,100,ID,1610149014,82,-8.4667,140.3333,81.75,8.21
Saldanha,0,ZA,1610149015,82,-33.0117,17.9442,60.8,6.91
Foumban,68,CM,1610149016,45,5.7291,10.9001,62.92,3.76
Cristian,100,RO,1610149018,91,45.6167,25.4667,32.0,1.01
Hay River,2,CA,1610148921,73,60.8156,-115.7999,21.2,4.61
Slyudyanka,59,RU,1610149020,84,51.6594,103.7061,4.32,6.67
Olafsvik,68,IS,1610149021,87,64.8945,-23.7142,18.95,23.91
Tual,99,ID,1610149022,75,-5.6667,132.75,83.52,7.72
Yangi Marg`ilon,90,UZ,1610149023,73,40.4272,71.7189,19.4,9.22
Leningradskiy,0,RU,1610149024,79,69.3833,178.4167,-19.5,3.38
Yeppoon,90,AU,1610149025,78,-23.1333,150.7333,73.4,17.27
Aklavik,75,CA,1610149027,84,68.2191,-135.0107,-9.4,4.61
Graciano Sánchez,75,MX,1610149028,27,23.9167,-99.2833,75.2,5.75
Cidreira,0,BR,1610148963,68,-30.1811,-50.2056,74.8,8.99
Kerman,0,IR,1610149030,57,30.2832,57.0788,15.8,4.61
New Norfolk,98,AU,1610149031,43,-42.7826,147.0587,73.99,3.0
São Filipe,3,CV,1610149032,79,14.8961,-24.4956,73.33,13.85
Bow Island,35,CA,1610149033,93,49.8668,-111.3684,36.0,8.05
Kushmurun,96,KZ,1610149034,87,52.4503,64.6311,-2.92,16.87
Nishifukuma,75,JP,1610149035,51,33.7667,130.4667,32.0,10.36
Yonezawa,80,JP,1610149037,85,37.9167,140.1167,21.0,1.61
Hong Kong,91,HK,1610148826,36,22.2855,114.1577,48.0,9.62
Coyhaique,75,CL,1610149039,47,-45.5752,-72.0662,57.2,11.5
Klaksvík,90,FO,1610149040,100,62.2266,-6.589,44.6,23.02
Mishan,82,CN,1610149041,85,45.55,131.8833,-17.05,3.94
San Cristobal,40,VE,1610149042,74,7.7669,-72.225,80.6,4.61
Manta,75,EC,1610149043,78,-0.95,-80.7333,80.6,6.91
Ilulissat,9,GL,1610149044,43,69.2167,-51.1,5.0,19.57
Mirny,100,RU,1610149046,92,62.5353,113.9611,-0.54,6.82
Castro,88,BR,1610148982,94,-24.7911,-50.0119,66.18,4.23
Deer Lake,90,CA,1610149048,93,49.1667,-57.4316,35.6,4.61
Hofn,9,IS,1610149049,81,64.2539,-15.2082,31.8,18.07
Severo-Kuril'sk,64,RU,1610149050,84,50.6789,156.125,25.3,13.62
Kiryat Gat,1,IL,1610149051,41,31.61,34.7642,64.0,1.99
Cherskiy,86,RU,1610149052,88,68.75,161.3,-19.89,2.89
Raja,95,SS,1610149053,29,8.4596,25.678,66.63,5.14
Tuatapere,95,NZ,1610149055,78,-46.1333,167.6833,59.0,15.01
Harlingen,1,US,1610148897,55,26.1906,-97.6961,62.6,14.97
Evensk,92,RU,1610149057,83,61.95,159.2333,1.92,10.0
Abay,0,KZ,1610149058,68,49.6311,72.8539,-31.0,6.71
Altay,100,CN,1610149059,79,47.8667,88.1167,1.87,0.31
Farīdpur,17,BD,1610149060,77,23.6,89.8333,68.0,3.44
Koregaon,89,IN,1610149061,73,18.65,74.0833,72.72,5.32
Nanortalik,100,GL,1610149062,88,60.1432,-45.2371,34.86,10.98
Vélez,98,CO,1610149063,100,6.0134,-73.6735,56.19,0.89
Isangel,90,VU,1610149065,89,-19.55,169.2667,82.4,4.63
Barra Patuca,2,HN,1610149066,75,15.8,-84.2833,75.78,8.66
Jalu,99,LY,1610149067,46,29.0331,21.5482,59.63,5.59
Ribeira Grande,46,PT,1610149068,62,38.5167,-28.7,57.04,6.62
Garissa,17,KE,1610149069,76,-0.4536,39.6401,75.43,7.11
Kushiro,20,JP,1610149070,72,42.975,144.3747,8.6,3.44
Tilichiki,45,RU,1610149071,91,60.4667,166.1,-0.29,10.2
Vardø,20,NO,1610149073,79,70.3705,31.1107,21.2,14.97
Coronado,20,US,1610149074,63,32.6859,-117.1831,66.0,11.5
Kaitangata,77,NZ,1610149075,60,-46.2817,169.8464,62.01,15.01
Vila Franca do Campo,40,PT,1610149076,66,37.7167,-25.4333,53.6,8.05
Svarstad,52,NO,1610149077,45,59.399,9.9698,19.99,1.99
Kutum,0,SD,1610149078,34,14.2,24.6667,58.05,9.91
Waipawa,90,NZ,1610149079,67,-41.4122,175.5153,64.0,11.5
Olenegorsk,72,RU,1610149081,94,68.15,33.3,3.06,2.44
Barrow,90,US,1610149082,78,71.2906,-156.7887,-2.2,4.61
Aracati,72,BR,1610149083,73,-4.5617,-37.7697,80.82,15.61
Vrangel',14,RU,1610149084,82,42.7297,133.0839,-2.69,13.71
Flinders,67,AU,1610149085,65,-34.5833,150.8552,73.0,4.0
Marzuq,0,YE,1610149086,47,14.4,46.4667,50.43,3.31
Fortuna,1,US,1610149087,76,40.5982,-124.1573,55.99,8.05
Mayor Pablo Lagerenza,66,PY,1610149089,53,-19.9309,-60.7718,82.13,3.83
Nueve de Julio,84,AR,1610149090,50,-35.4444,-60.8831,73.0,4.0
Tshikapa,95,CD,1610149091,93,-6.4167,20.8,67.1,1.25
Cape Coast,99,GH,1610149092,86,5.1053,-1.2466,79.21,11.01
Stege,100,DK,1610149093,10,54.987,12.2846,35.01,8.59
Macapá,90,BR,1610149094,100,0.0389,-51.0664,77.0,3.44
Dezful,0,IR,1610149095,43,32.3811,48.4058,52.09,1.43
Khovd,100,MN,1610149096,83,48.0056,91.6419,-10.39,1.19
Parrita,75,CR,1610149097,60,9.5201,-84.3225,73.4,11.5
Talara,40,PE,1610149099,87,-4.5772,-81.2719,69.89,10.49
Inhambane,100,MZ,1610149100,85,-23.865,35.3833,76.77,7.67
Kidal,0,ML,1610149101,17,18.4411,1.4078,75.88,10.29
Matamoros,1,MX,1610148830,11,25.5333,-103.25,75.2,5.77
Mossamedes,100,AO,1610148968,73,-15.1961,12.1522,71.64,6.49
Petropavlovsk-Kamchatskiy,0,RU,1610149104,71,53.0452,158.6483,-5.8,11.18
Gwanda,100,ZW,1610149105,90,-20.9333,29.0,68.95,5.73
Den Helder,27,NL,1610148831,87,52.9599,4.7593,37.99,4.61
Ponta do Sol,61,PT,1610149108,74,32.6667,-17.1,48.99,5.99
Beringovskiy,19,RU,1610149109,86,63.05,179.3167,-18.45,6.87
Mandalgovi,0,MN,1610149110,85,45.7625,106.2708,-2.88,16.22
Khatanga,41,RU,1610149111,88,71.9667,102.5,-18.06,8.46
Meulaboh,100,ID,1610149112,92,4.1363,96.1285,74.79,6.04
Maţāy,0,EG,1610149113,47,28.419,30.7792,57.02,7.85
Sabha,44,LY,1610149114,31,27.0377,14.4283,62.83,5.97
Noyabrsk,88,RU,1610149115,90,63.1994,75.4507,-11.97,0.89
Sol'tsy,85,RU,1610149116,96,58.1239,30.3238,13.06,5.57
Faanui,5,PF,1610149117,69,-16.4833,-151.75,81.25,6.98
Cananéia,100,BR,1610149119,86,-25.0147,-47.9267,77.22,3.58
Chiredzi,89,ZW,1610149120,87,-21.05,31.6667,72.37,2.44
Geghamavan,75,AM,1610149121,86,40.5634,44.8879,19.4,1.14
Dobson,90,US,1610149122,100,36.3957,-80.7226,35.01,2.98
Provideniya,49,RU,1610149123,82,64.3833,-173.3,-6.38,5.41
Bambanglipuro,100,ID,1610149124,82,-7.95,110.2833,79.92,2.35
Vicksburg,90,US,1610149125,56,32.3526,-90.8779,42.8,5.75
Olonets,78,RU,1610149126,94,60.9847,32.9698,4.87,4.21
Port Hedland,97,AU,1610149127,62,-20.3167,118.5667,87.8,10.36
Mabaruma,100,GY,1610149128,98,8.2,-59.7833,73.54,3.47
Kachug,53,RU,1610149130,86,53.9606,105.8817,-13.83,2.68
Chui,1,UY,1610149131,79,-33.6971,-53.4616,66.78,10.11
Solec Kujawski,90,PL,1610149132,93,53.0837,18.2257,34.0,3.44
Pacific Grove,1,US,1610149133,63,36.6177,-121.9166,62.01,4.61
Praia da Vitória,40,PT,1610149134,76,38.7333,-27.0667,53.6,10.56
Miles City,90,US,1610149135,80,46.4083,-105.8406,26.6,3.44
Smithers,40,CA,1610149136,69,54.7804,-127.1743,32.0,8.05
Pevek,92,RU,1610149137,89,69.7008,170.3133,-17.48,4.81
Nautla,58,MX,1610149139,66,20.2167,-96.7833,67.98,3.85
Monte Alegre,85,BR,1610149140,86,-2.0078,-54.0692,77.52,1.59
Maxixe,100,MZ,1610149141,87,-23.8597,35.3472,75.81,6.76
Oktyabr'skoye,81,RU,1610149142,93,43.0645,44.7417,30.2,6.71
Husavik,90,IS,1610149145,53,66.0449,-17.3389,21.2,13.8
Buraidah,40,SA,1610149146,93,26.326,43.975,51.8,6.55
Butaritari,55,KI,1610149147,82,3.0707,172.7902,80.94,19.86
Saskylakh,100,RU,1610149148,89,71.9167,114.0833,-11.34,9.15
Nome,90,US,1610149149,65,64.5011,-165.4064,-0.4,10.36
Wuwei,100,CN,1610149150,67,37.9281,102.6414,8.42,1.45
Rio Grande,0,BR,1610149151,74,-32.035,-52.0986,73.89,16.11
North Battleford,1,CA,1610148873,86,52.7834,-108.2847,17.6,9.22
Haicheng,0,CN,1610149154,79,40.8516,122.7475,-0.38,2.91
Bulgan,0,MN,1610149155,81,48.8125,103.5347,-6.9,3.74
Gamboula,64,CF,1610149156,32,4.1178,15.1393,66.79,1.3
Rapid City,90,US,1610149157,86,44.0805,-103.231,30.99,2.19
Kedrovyy,100,RU,1610149158,76,56.1667,91.8167,-20.2,2.24
Belyy Yar,94,RU,1610149159,83,53.6039,91.3903,-20.2,1.79
Tuktoyaktuk,75,CA,1610149160,84,69.4541,-133.0374,-2.2,8.05
Terrace,75,CA,1610148911,87,54.5163,-128.6035,37.4,25.32
Zyryanka,90,RU,1610149162,85,65.75,150.85,-27.74,2.66
Huallanca,95,PE,1610149163,74,-9.8993,-76.9417,48.09,3.4
Kupang,75,ID,1610149099,89,-10.1667,123.5833,78.8,5.75
Marawi,81,PH,1610149166,91,7.9986,124.2928,75.99,3.0
Quatre Cocos,75,MU,1610149167,83,-20.2078,57.7625,78.8,12.66
Sandakan,40,MY,1610149168,100,5.8402,118.1179,77.0,4.61
Vostok,77,RU,1610149169,84,46.4856,135.8833,-20.04,2.51
Tautira,20,PF,1610149170,70,-17.7333,-149.15,86.0,11.5
Iqaluit,90,CA,1610149171,72,63.7506,-68.5145,3.2,12.66
Biak,98,ID,1610149172,71,-0.9131,122.8766,80.8,1.5
Bayir,20,TR,1610149173,82,37.2687,28.2167,60.8,8.05
East London,12,ZA,1610149175,85,-33.0153,27.9116,72.93,4.07
Saint-Pierre,0,RE,1610149176,68,-21.3393,55.4781,73.4,6.91
Alice Springs,40,AU,1610149177,29,-23.7,133.8833,80.6,9.22
Marabu,40,MY,1610149178,94,4.4148,114.0089,78.8,4.61
Palmerston,75,AU,1610149179,78,-12.486,130.9833,82.99,4.61
Caravelas,0,BR,1610149181,81,-17.7125,-39.2481,77.77,10.07
Melfi,100,IT,1610149182,81,40.9965,15.6514,46.99,7.0
Vanimo,98,PG,1610149183,75,-2.6741,141.3028,83.52,3.29
Taltal,21,CL,1610149184,74,-25.4,-70.4833,66.15,4.34
Lüderitz,6,NA,1610149185,65,-26.6481,15.1594,67.53,17.87
Bengkulu,95,ID,1610149186,84,-3.8004,102.2655,76.21,4.76
Kaeo,28,NZ,1610149188,70,-35.1,173.7833,75.0,4.0
Phan Thiet,33,VN,1610149189,78,10.9333,108.1,70.21,9.55
Petatlán,75,MX,1610149190,70,17.5167,-101.2667,84.2,3.13
Bubaque,0,GW,1610149191,75,11.2833,-15.8333,79.25,16.98
Sobolevo,100,RU,1610149192,98,54.4299,31.8996,26.83,9.4
Panama,20,PA,1610149013,66,9.0,-80.0,86.0,11.5
Ust-Nera,74,RU,1610149194,73,64.5667,143.2,-33.68,0.13
Kota Belud,20,MY,1610149195,94,6.351,116.4305,75.2,4.61
Noril'sk,98,RU,1610149098,86,69.3535,88.2027,-13.04,6.8
Ponta Delgada,40,PT,1610149198,66,37.7333,-25.6667,53.6,8.05
Buala,84,SB,1610149199,62,-8.145,159.5921,86.34,4.41
Severnyy-Kospashskiy,92,RU,1610149200,95,59.0925,57.8008,5.5,3.22
Norman Wells,75,CA,1610149201,85,65.282,-126.8329,1.4,8.05
Mandera,1,KE,1610149202,30,3.9366,41.867,76.42,7.76
Merrill,1,US,1610149156,80,45.1805,-89.6835,26.6,4.63
Constitución,11,CL,1610149204,72,-35.3333,-72.4167,57.13,13.35
Bloomington,90,US,1610149206,93,44.8408,-93.2983,23.0,4.61
Bariloche,0,AR,1610148975,29,-41.1456,-71.3082,62.6,21.85
Yarovoy,47,RU,1610149208,86,52.9273,78.58,-21.64,8.59
Kavieng,100,PG,1610149209,75,-2.5744,150.7967,83.84,12.71
Esperance,62,AU,1610149210,41,-33.8667,121.9,75.2,20.71
Garoowe,1,SO,1610149212,73,8.4054,48.4845,63.77,9.35
Yar-Sale,91,RU,1610149213,91,66.8333,70.8333,-7.04,5.55
Madera,11,US,1610149215,75,37.1666,-119.8343,57.0,1.99
Cabedelo,0,BR,1610149216,83,-6.9811,-34.8339,78.8,5.75
Skawina,75,PL,1610149218,86,49.9752,19.8287,32.0,4.61
Bilibino,80,RU,1610149219,84,68.0546,166.4372,-22.22,1.79
Longyearbyen,75,SJ,1610149003,74,78.2186,15.6401,23.0,18.41
Arua,85,UG,1610149222,42,3.0201,30.9111,69.15,7.81
Moyale,8,KE,1610149223,36,3.5167,39.0584,67.5,10.47
Mocuba,100,MZ,1610149224,88,-16.8392,36.9856,75.72,2.39
Naze,20,JP,1610149225,66,28.3667,129.4833,48.2,14.97
Grand Gaube,21,MU,1610149226,90,-20.0064,57.6608,75.0,5.99
Assiut,0,EG,1610149228,67,27.181,31.1837,59.0,4.61
Codrington,18,AU,1610149229,58,-38.2667,141.9667,71.22,7.02
Sarangani,92,PH,1610149230,77,5.4033,125.4636,81.48,4.88
Xuanzhou,49,CN,1610149231,72,30.9525,118.7553,27.88,6.22
Ukiah,1,US,1610149232,41,39.1502,-123.2078,59.0,4.61
Bathsheba,20,BB,1610149233,78,13.2167,-59.5167,78.8,14.97
Saint-Paul,75,RE,1610149235,61,-21.0096,55.2707,77.0,13.8
Port Lincoln,0,AU,1610149236,58,-34.7333,135.8667,72.48,7.16
Chapais,75,CA,1610149237,85,49.7834,-74.8492,8.6,5.75
Ballinasloe,5,IE,1610149238,88,53.3275,-8.2194,28.0,1.01
Karatau,0,KZ,1610149239,82,43.1667,70.4667,8.87,4.36
Pāthardi,87,IN,1610149241,70,19.1667,75.1833,72.54,10.31
Bhūm,82,IN,1610149242,72,18.4667,75.6667,72.48,10.04
Dauriya,42,RU,1610149243,89,49.9333,116.8667,-3.84,10.33
Samarai,76,PG,1610149245,72,-10.6167,150.6667,85.66,11.16
Senador José Porfírio,98,BR,1610149246,92,-2.5908,-51.9542,75.83,3.2
Sabla,53,NG,1610149248,18,12.7525,4.7077,77.04,9.93
Henties Bay,100,NA,1610149249,87,-22.116,14.2845,68.0,7.31
Anloga,20,GH,1610149250,89,5.7947,0.8973,80.6,9.22
Mikkeli,99,FI,1610149252,96,61.6886,27.2723,16.16,3.87
Viedma,13,AR,1610148988,38,-40.8135,-62.9967,73.99,4.0
Tarauacá,29,BR,1610149254,85,-8.1614,-70.7656,75.78,3.0
Robertsport,13,LR,1610149255,83,6.7533,-11.3686,80.44,8.97
Dukat,76,RU,1610149256,87,62.55,155.55,-19.89,3.06
Haljala,67,EE,1610149258,95,59.4336,26.2614,19.0,6.62
Maragogi,97,BR,1610149243,80,-9.0122,-35.2225,78.28,10.76
Bandarbeyla,13,SO,1610149260,73,9.4942,50.8122,72.97,18.39
Gaza,0,PS,1610149261,41,31.5,34.4667,64.0,1.01
Kumul,100,CN,1610149263,64,42.8,93.45,13.28,3.96
Popondetta,100,PG,1610149265,55,-8.7537,148.2534,89.8,3.22
Touros,40,BR,1610149267,78,-5.1989,-35.4608,78.8,11.5
Aswān,1,EG,1610149198,43,24.0934,32.907,60.89,5.21
Sitka,90,US,1610149270,81,57.0531,-135.33,42.8,4.0
San Jerónimo,77,PE,1610149272,70,-11.9472,-75.2829,51.89,2.57
Huambo,100,AO,1610149273,82,-12.7761,15.7392,60.19,2.33
Karratha,90,AU,1610149076,48,-20.7377,116.8463,90.52,3.51
Shakawe,94,BW,1610149275,84,-18.3667,21.85,70.23,3.18
Jacqueville,20,CI,1610149276,89,5.2052,-4.4146,80.6,5.75
Makkah al Mukarramah,0,SA,1610149277,64,21.4267,39.8261,73.49,2.13
Presidencia Roque Sáenz Peña,61,AR,1610149278,50,-26.7852,-60.4388,83.08,4.85
Les Cayes,100,HT,1610149280,82,18.2,-73.75,75.2,4.41
Yining,0,CN,1610149281,73,29.0361,114.5636,28.87,0.65
Lima,0,PE,1610149141,73,-12.0432,-77.0282,73.4,16.11
Tataouine,0,TN,1610149283,25,32.9297,10.4518,75.2,13.8
Saint-Leu,0,RE,1610149284,68,-21.15,55.2833,77.0,4.61
Coquimbo,75,CL,1610149285,82,-29.9533,-71.3436,60.8,6.91
Mana,90,GF,1610149286,89,5.6592,-53.7767,76.93,14.03
Mount Gambier,0,AU,1610149287,56,-37.8333,140.7667,71.6,3.44
Trairi,71,BR,1610149288,77,-3.2778,-39.2689,79.83,11.25
Vao,100,NC,1610149290,84,-22.6667,167.4833,78.57,20.94
Neryungri,100,RU,1610149291,87,56.6709,124.6491,-8.91,9.19
Strezhevoy,90,RU,1610149292,84,60.7333,77.5889,-5.8,4.47
Shagonar,98,RU,1610149293,81,51.5333,92.8,-22.77,2.06
Kahului,40,US,1610149199,54,20.8947,-156.47,82.4,13.8
Shingū,20,JP,1610149295,51,33.7333,135.9833,32.0,19.57
Itoman,75,JP,1610149296,58,26.1247,127.6694,51.8,23.02
Baiquan,1,CN,1610149164,85,47.5833,126.0833,-14.98,4.09
Kholtoson,1,RU,1610149298,82,50.2981,103.3097,-11.97,3.94
Luau,99,AO,1610149300,98,-10.7073,22.2247,60.67,3.18
Llandrindod Wells,87,GB,1610149301,90,52.2416,-3.3787,35.01,1.01
Russell,90,US,1610149302,75,32.3502,-85.1999,42.8,14.97
Lorengau,38,PG,1610149303,69,-2.0226,147.2712,85.96,7.61
Port Elizabeth,20,ZA,1610149304,88,-33.918,25.5701,69.8,6.91
Virtsu,94,EE,1610149305,72,58.5716,23.5115,24.01,14.0
São João da Barra,46,BR,1610149306,91,-21.6403,-41.0511,76.62,8.1
Ciudad Bolivar,64,VE,1610149307,77,8.1222,-63.5497,78.03,12.15
Dębica,75,PL,1610149309,93,50.0515,21.4114,33.01,2.3
Dunedin,34,NZ,1610149224,55,-45.8742,170.5036,64.31,13.29
Wanning,100,CN,1610149048,81,18.8003,110.3967,54.77,14.7
Nsoko,41,SZ,1610149312,88,-27.0333,31.95,71.22,2.01
Mahabalipuram,75,IN,1610149313,94,12.6264,80.1722,77.0,2.3
Marystown,100,CA,1610149314,90,47.1666,-55.1483,37.49,16.98
Laas,0,IT,1610149316,62,46.6166,10.7002,24.01,4.61
Mariental,95,NA,1610149317,42,-24.6333,17.9667,83.97,5.99
Yumen,100,CN,1610149318,66,40.2833,97.2,7.75,13.24
Mukhen,100,RU,1610149319,83,48.1,136.1,-14.42,6.89
Tiarei,20,PF,1610149320,70,-17.5333,-149.3333,86.0,11.5
Tiksi,100,RU,1610149321,89,71.6872,128.8694,-13.27,12.3
Andilamena,87,MG,1610149167,89,-17.0167,48.5833,66.65,2.35
Farnes,0,NO,1610149323,76,61.3167,7.8,12.11,1.86
Cockburn Town,20,TC,1610149198,78,21.4612,-71.1419,75.2,4.61
Salinas,1,US,1610149036,55,36.6777,-121.6555,62.6,10.36
Ouargaye,71,BF,1610149327,16,11.5033,0.0572,77.61,7.92
Great Bend,90,US,1610149328,75,38.3645,-98.7648,37.4,5.75
Krasnaya Gorka,100,RU,1610149329,95,55.1962,56.6673,15.42,5.59
Torreón,1,MX,1610149197,11,25.55,-103.4333,75.2,5.06
Salalah,0,OM,1610149331,49,17.0151,54.0924,69.8,8.05
Fort Nelson,75,CA,1610149171,85,58.8053,-122.7002,5.0,4.61
Opuwo,86,NA,1610149333,70,-18.0607,13.84,67.87,3.24
